video,sentence,start,end
ftjAL7MnqsE-00_01_44.236-00_01_52.078.mp4,biden later visited shanksville in the afternoon,00:01:44.236,00:01:52.078
ftjAL7MnqsE-00_01_27.453-00_01_44.236.mp4,joe biden visited the 9/11 museum in new york city and bumped elbows with vice president mike pence at the world trade center site,00:01:27.453,00:01:44.236
ftjAL7MnqsE-00_01_17.510-00_01_27.453.mp4,trump said their memory will inspire america for all time to come,00:01:17.510,00:01:27.453
ftjAL7MnqsE-00_00_47.481-00_01_17.510.mp4,president donald trump visited a memorial in shanksville pennsylvania which is where flight 93 crashed when 40 passengers and crew fought back against terrorists who wanted to aim the plane towards the u.s. capitol,00:00:47.481,00:01:17.510
ftjAL7MnqsE-00_00_34.334-00_00_47.481.mp4,many first responders had health problems from inhaling smoke and dust,00:00:34.334,00:00:47.481
ftjAL7MnqsE-00_00_12.044-00_00_21.588.mp4,"nearly 3,000 people died including over 340 firefighters and over 70 police officers",00:00:12.044,00:00:21.588
ftjAL7MnqsE-00_00_03.036-00_00_05.772.mp4,here are today 's top news briefs,00:00:03.036,00:00:05.772
ftjAL7MnqsE-00_03_04.283-00_03_10.289.mp4,prosecutors said the evidence is similar for all four,00:03:04.283,00:03:10.289
4SVP0ShrpN0-00_01_44.082-00_01_54.500.mp4,trump worked out of the oval office this afternoon which means that trump is not isolating himself in his bedroom,00:01:44.082,00:01:54.500
4SVP0ShrpN0-00_00_54.457-00_01_06.582.mp4,sen. harris team made the request and pence 's team objected but later agreed to the plexiglass,00:00:54.457,00:01:06.582
4CZCJPhojUc-00_13_09.663-00_13_21.841.mp4,brown lived at the same apartment building as guyger and the man she murdered by mistake botham jean,00:13:09.663,00:13:21.841
4CZCJPhojUc-00_12_46.347-00_13_09.663.mp4,the first joshua xavier brown who was a witness in the murder trial of former dallas police officer amber guyger was himself shot and killed on friday night,00:12:46.347,00:13:09.663
4CZCJPhojUc-00_12_42.260-00_12_46.347.mp4,here are two top news briefs,00:12:42.260,00:12:46.347
4CZCJPhojUc-00_12_25.326-00_12_36.464.mp4,his lawyers and the white house have also sued three times including the above incident to block the release of his taxes,00:12:25.326,00:12:36.464
4CZCJPhojUc-00_12_10.937-00_12_25.326.mp4,trump 's taxes has long been a political issue as he promised to release his taxes during his 2016 campaign but never followed through,00:12:10.937,00:12:25.326
4CZCJPhojUc-00_11_45.287-00_12_10.937.mp4,the new york federal judge victor marrero said he could n't support his argument because it was an excessive assertion of presidential immunity from judicial processes and ordered the taxes to be handed over,00:11:45.287,00:12:10.937
4CZCJPhojUc-00_11_30.438-00_11_45.287.mp4,trump 's legal team argued that the constitution protects presidents from criminal investigations while in office,00:11:30.438,00:11:45.287
4CZCJPhojUc-00_11_19.135-00_11_30.438.mp4,this means the taxes will not have to be immediately turned over pending a review by a court panel,00:11:19.135,00:11:30.438
4CZCJPhojUc-00_10_58.532-00_11_19.135.mp4,but later today the second circuit court of appeals a higher federal court in new york city granted trump an emergency stay a type of block,00:10:58.532,00:11:19.135
4CZCJPhojUc-00_13_21.841-00_13_39.109.mp4,brown said he was on the same hallway they were in and described hearing sounds of two people meeting by surprise and then two gunshots,00:13:21.841,00:13:39.109
4CZCJPhojUc-00_10_53.818-00_10_58.532.mp4,trump sued to block this but the judge said it has to be handed over,00:10:53.818,00:10:58.532
4CZCJPhojUc-00_10_17.950-00_10_28.668.mp4,daniels claimed to have an affair with trump shortly after he married his third wife melania,00:10:17.950,00:10:28.668
4CZCJPhojUc-00_10_00.890-00_10_17.950.mp4,the payment was to reimburse cohen for a hush money payment to stormy daniels before the 2016 election,00:10:00.890,00:10:17.950
4CZCJPhojUc-00_09_35.950-00_10_00.890.mp4,"the da is investigating whether the trump organization falsely listed its 130,000 reimbursement to trump 's former personal attorney michael cohen as a legal expense",00:09:35.950,00:10:00.890
4CZCJPhojUc-00_09_06.629-00_09_35.950.mp4,this morning a federal judge in new york ruled that manhattan 's district attorney could subpoena 8 years of trump 's personal and business tax returns from his accounting firm,00:09:06.629,00:09:35.950
4CZCJPhojUc-00_08_36.474-00_08_47.150.mp4,multiple u.s. lawmakers both republican and democratic have pushed the nba to stand up to china,00:08:36.474,00:08:47.150
4CZCJPhojUc-00_08_30.300-00_08_36.474.mp4,yao ming is actually the president of the chinese basketball association,00:08:30.300,00:08:36.474
4CZCJPhojUc-00_08_24.336-00_08_30.300.mp4,the chinese government has a lot of power and control over the market,00:08:24.336,00:08:30.300
4CZCJPhojUc-00_08_05.401-00_08_24.336.mp4,there is a huge market in china that is interested in the nba and especially the houston rockets because they drafted yao ming who is one of the top chinese basketball players in 2002,00:08:05.401,00:08:24.336
4CZCJPhojUc-00_07_58.853-00_08_05.401.mp4,the rockets and the nba league are still figuring out their next steps,00:07:58.853,00:08:05.401
4CZCJPhojUc-00_10_28.668-00_10_53.818.mp4,cohen is in jail for campaign finance violations related to this payment and since trump is an involved party he is under criminal investigation hence the need for his tax returns,00:10:28.668,00:10:53.818
4SVP0ShrpN0-00_01_06.582-00_01_33.625.mp4,the white house physician sean conley said president trump has been symptom free for over 24 hours and have not needed oxygen since the last time he received it at the walter reed medical center,00:01:06.582,00:01:33.625
4CZCJPhojUc-00_13_39.109-00_13_52.623.mp4,he became emotional during his testimony and wiped away tears and said he met botham jean for the first time the day he died last year,00:13:39.109,00:13:52.623
4CZCJPhojUc-00_13_59.296-00_14_04.259.mp4,there is an investigation and there have been no suspects named,00:13:59.296,00:14:04.259
4SVP0ShrpN0-00_00_49.000-00_00_54.457.mp4,they will be seated on desks and be more than 12 feet apart,00:00:49.000,00:00:54.457
4SVP0ShrpN0-00_00_33.417-00_00_49.000.mp4,tonight 's vice presidential debate in salt lake city will have a plexiglass partition that will divide vice president mike pence and sen. kamala harris,00:00:33.417,00:00:49.000
4SVP0ShrpN0-00_00_25.125-00_00_33.417.mp4,the coronavirus outbreak at the white house has hit at least 10 staffers,00:00:25.125,00:00:33.417
4SVP0ShrpN0-00_00_15.958-00_00_25.125.mp4,miller advises trump on immigration policies and is a speechwriter,00:00:15.958,00:00:25.125
4SVP0ShrpN0-00_00_05.916-00_00_15.958.mp4,stephen miller a top advisor to president trump tested positive for the coronavirus last night,00:00:05.916,00:00:15.958
4SVP0ShrpN0-00_00_03.208-00_00_05.916.mp4,here are today 's top news briefs,00:00:03.208,00:00:05.916
4SVP0ShrpN0-00_00_00.458-00_00_03.208.mp4,"it is wednesday, october 7",00:00:00.458,00:00:03.208
4CZCJPhojUc-00_15_52.993-00_15_54.244.mp4,captioned by www.aslcaptions.com,00:15:52.993,00:15:54.244
4CZCJPhojUc-00_15_50.073-00_15_52.993.mp4,see you tomorrow and stay with the light,00:15:50.073,00:15:52.993
4CZCJPhojUc-00_13_52.623-00_13_59.296.mp4,brown 's death on friday night happened at a different apartment building,00:13:52.623,00:13:59.296
4CZCJPhojUc-00_15_48.572-00_15_50.073.mp4,that is all for today,00:15:48.572,00:15:50.073
4CZCJPhojUc-00_15_34.850-00_15_39.812.mp4,it seems like santos is also homeless,00:15:34.850,00:15:39.812
4CZCJPhojUc-00_15_29.802-00_15_34.850.mp4,he confessed that he did it and it is not known the motive,00:15:29.802,00:15:34.850
4CZCJPhojUc-00_15_24.798-00_15_29.802.mp4,it was covered with blood and hair,00:15:24.798,00:15:29.802
4CZCJPhojUc-00_15_12.702-00_15_24.798.mp4,authorities said they had video of the attacks and saw santos walking with the metal over his shoulder,00:15:12.702,00:15:24.798
4CZCJPhojUc-00_15_09.408-00_15_12.702.mp4,a fifth person was injured,00:15:09.408,00:15:12.702
4CZCJPhojUc-00_15_03.318-00_15_09.408.mp4,the homeless victims were sleeping on the streets when they were assaulted,00:15:03.318,00:15:09.408
4CZCJPhojUc-00_14_29.033-00_15_03.318.mp4,the second news a 24-year-old man randy rodriguez santos was arrested and charged with murdering four homeless men in new york city over the weekend by striking them in the head with a 3-foot 15-pound piece of construction metal,00:14:29.033,00:15:03.318
4CZCJPhojUc-00_14_13.018-00_14_29.033.mp4,there is a lot of shock on social media at the fact that a witness in a murder trial involving a firearm was himself shot and killed a few days after the trial,00:14:13.018,00:14:29.033
4CZCJPhojUc-00_14_04.259-00_14_13.018.mp4,witnesses only saw a silver four door sedan speeding off from the parking lot,00:14:04.259,00:14:13.018
4CZCJPhojUc-00_15_39.812-00_15_46.361.mp4,he was also charged with unlawful possession of marijuana,00:15:39.812,00:15:46.361
4CZCJPhojUc-00_07_37.706-00_07_58.853.mp4,he deleted the tweet but axios reported that the chinese government the chinese basketball association cba and multiple chinese businesses have severed ties with the rockets,00:07:37.706,00:07:58.853
ftjAL7MnqsE-00_03_31.877-00_03_53.199.mp4,prosecutors said they want higher penalties for the four former officers in an upward departure from sentencing guidelines,00:03:31.877,00:03:53.199
ftjAL7MnqsE-00_03_58.671-00_04_11.852.mp4,in separate but related news the family of george floyd will attend the minnesota vikings season opener on sunday,00:03:58.671,00:04:11.852
JaJWiCEmDQQ-00_02_59.707-00_03_24.125.mp4,the impeachment trial officially started today in the senate when supreme court chief justice john roberts asked all senators to take an oath to deliver impartial justice,00:02:59.707,00:03:24.125
JaJWiCEmDQQ-00_02_50.375-00_02_59.707.mp4,last night the house officially transmitted the articles of impeachment to the senate,00:02:50.375,00:02:59.707
JaJWiCEmDQQ-00_02_32.540-00_02_50.375.mp4,the new york times explained that the gao 's report by itself does not result in any action but will add to the impeachment trial,00:02:32.540,00:02:50.375
JaJWiCEmDQQ-00_02_08.707-00_02_32.540.mp4,this is big news because president trump was impeached by the house for asking ukraine to investigate joe biden's son 's business dealings in ukraine at the same time the $400 million was withheld,00:02:08.707,00:02:32.540
JaJWiCEmDQQ-00_01_50.332-00_02_08.707.mp4,the white house said we disagree with g.a.o 's opinion ... we ensure taxpayer dollars are properly spent consistent with the president 's priorities and with the law,00:01:50.332,00:02:08.707
JaJWiCEmDQQ-00_01_36.207-00_01_50.332.mp4,the gao said during their investigation there was a lack of cooperation from the trump administration and that it interfered with their oversight role,00:01:36.207,00:01:50.332
JaJWiCEmDQQ-00_01_22.207-00_01_36.207.mp4,the other $200 million was appropriated by congress to be allocated to the state department and the gao is now looking if the withholding was proper,00:01:22.207,00:01:36.207
JaJWiCEmDQQ-00_01_01.582-00_01_22.207.mp4,the gao said the white house told them that the funds were withheld as to not conflict with president trump 's foreign policy but the gao explained that the law does not permit funds to be withheld for policy reasons,00:01:01.582,00:01:22.207
JaJWiCEmDQQ-00_00_43.665-00_01_01.582.mp4,fox news reported that the gao said congress had already appropriated $214 million to be allocated to the department of defense and that the withholding was illegal,00:00:43.665,00:01:01.582
JaJWiCEmDQQ-00_03_24.125-00_03_47.665.mp4,this will be an interesting challenge for senators to remain impartial because sen. mcconnell r ky and sen. graham r sc recently said they will not be impartial jurors,00:03:24.125,00:03:47.665
JaJWiCEmDQQ-00_00_15.125-00_00_43.665.mp4,the government accountability office gao a legislative branch agency that audits and investigates the finances of the federal government said in a legal opinion that the trump administration broke the law by withholding almost $400 million in military aid to ukraine,00:00:15.125,00:00:43.665
JaJWiCEmDQQ-00_00_06.522-00_00_09.228.mp4,"it is thursday, january 16",00:00:06.522,00:00:09.228
JaJWiCEmDQQ-00_00_03.290-00_00_06.522.mp4,hello welcome to the daily moth,00:00:03.290,00:00:06.522
jEjtVRj8yRA-00_07_34.987-00_07_36.156.mp4,captioned by aslcaptions.com,00:07:34.987,00:07:36.156
jEjtVRj8yRA-00_07_33.125-00_07_34.987.mp4,stay with the light,00:07:33.125,00:07:34.987
jEjtVRj8yRA-00_07_29.848-00_07_31.617.mp4,that 's all for now,00:07:29.848,00:07:31.617
jEjtVRj8yRA-00_07_20.439-00_07_29.014.mp4,chase elliot was the winner of that race and took home 1 million as a prize,00:07:20.439,00:07:29.014
jEjtVRj8yRA-00_06_48.574-00_07_20.439.mp4,usually this event would be at the charlotte motor speedway in north carolina but moved to tennessee because the tennessee officials allowed speedway motorsports to sell tickets for an agreed number of seats and because north carolina would not authorize fans to attend,00:06:48.574,00:07:20.439
jEjtVRj8yRA-00_06_38.598-00_06_48.574.mp4,this event yesterday makes it the largest sporting event in the usa since shutdowns due to the pandemic,00:06:38.598,00:06:48.574
jEjtVRj8yRA-00_06_24.718-00_06_38.598.mp4,"it is reported that about 20,000 people showed up and they were socially distanced throughout the grandstand",00:06:24.718,00:06:38.598
JaJWiCEmDQQ-00_00_09.228-00_00_10.833.mp4,ready for news,00:00:09.228,00:00:10.833
jEjtVRj8yRA-00_06_20.480-00_06_24.718.mp4,"they permitted up to 30,000 fans to attend",00:06:20.480,00:06:24.718
JaJWiCEmDQQ-00_03_47.665-00_03_56.207.mp4,it also might be obvious that certain democratic senators will have challenges in being impartial,00:03:47.665,00:03:56.207
JaJWiCEmDQQ-00_04_16.750-00_04_24.165.mp4,there is one more separate but related news story lev parnas,00:04:16.750,00:04:24.165
JaJWiCEmDQQ-00_09_16.000-00_09_22.625.mp4,"she announced she raised 2,000 from supporters all over the world",00:09:16.000,00:09:22.625
JaJWiCEmDQQ-00_08_47.791-00_09_16.000.mp4,deaf artist jennifer tandoc from austin texas created a pray for australia artwork and created prints to sell for a fundraiser for wires australia 's largest wildlife rescue organization,00:08:47.791,00:09:16.000
JaJWiCEmDQQ-00_08_42.832-00_08_47.791.mp4,"they 've raised 2,700 so far",00:08:42.832,00:08:47.791
JaJWiCEmDQQ-00_08_39.582-00_08_42.832.mp4,the link is in the transcript,00:08:39.582,00:08:42.832
JaJWiCEmDQQ-00_08_27.540-00_08_39.582.mp4,miers said the fund will provide them with communications supports and communications equipments for them to remain in contact with the community,00:08:27.540,00:08:39.582
JaJWiCEmDQQ-00_07_58.875-00_08_27.540.mp4,kyle miers the ceo of charity organization deaf australia -- which is a national organization similar to the nad -- told the daily moth that they have started an online appeal where people can donate money for them to help deaf and hard of hearing families affected by the bushfires,00:07:58.875,00:08:27.540
JaJWiCEmDQQ-00_07_43.333-00_07_58.875.mp4,an image of a glacier in new zealand showed tan colors on the top of the snow which was caused by dust from the bushfires,00:07:43.333,00:07:58.875
JaJWiCEmDQQ-00_07_23.708-00_07_43.333.mp4,nasa scientists tracked the smoke since the end of december as it rose more than 9 miles high traveling eastward and determined that it has returned to australia this week,00:07:23.708,00:07:43.333
JaJWiCEmDQQ-00_07_12.165-00_07_23.708.mp4,the weather channel reported that smoke from the bushfires have circumnavigated around the world,00:07:12.165,00:07:23.708
JaJWiCEmDQQ-00_03_56.207-00_04_16.750.mp4,the washington post explained that there are no consequences if a senator breaks the oath to remain impartial that there are no rules preventing them from offering their opinions on the evidence or other issues,00:03:56.207,00:04:16.750
JaJWiCEmDQQ-00_07_05.458-00_07_12.165.mp4,the ash causes oxygen levels in the water to drop,00:07:05.458,00:07:12.165
JaJWiCEmDQQ-00_06_43.083-00_06_46.790.mp4,some of them were caused by lightning,00:06:43.083,00:06:46.790
JaJWiCEmDQQ-00_06_22.290-00_06_43.083.mp4,the guardian reported that parts of southeast australia received plenty of rain which helped with bushfires but that there are still over 80 fires that are still burning,00:06:22.290,00:06:43.083
JaJWiCEmDQQ-00_06_03.083-00_06_16.625.mp4,we will see if this will cause some senators to call for witnesses to be called during the trial which is something that republicans do n't want,00:06:03.083,00:06:16.625
JaJWiCEmDQQ-00_05_54.540-00_06_03.083.mp4,so there are a lot of new things that are coming up just as the impeachment trial is beginning,00:05:54.540,00:06:03.083
JaJWiCEmDQQ-00_05_41.458-00_05_54.540.mp4,president trump said the whole thing is a hoax and that he does n't know parnas and have never met him before,00:05:41.458,00:05:54.540
JaJWiCEmDQQ-00_05_23.540-00_05_41.458.mp4,he claimed that vice president mike pence cancelled a trip to the new ukrainian president 's inauguration as a part of pressure campaign,00:05:23.540,00:05:41.458
JaJWiCEmDQQ-00_05_13.375-00_05_23.540.mp4,parnas said president trump knew what was going on and supported their activities,00:05:13.375,00:05:23.540
JaJWiCEmDQQ-00_04_42.500-00_05_13.375.mp4,parnas gave new information and documents to house democrats that showed he worked with giuliani in ukraine to find damaging information on joe biden and his son hunter and also to pressure the ukrainian government to investigate the bidens,00:04:42.500,00:05:13.375
JaJWiCEmDQQ-00_04_24.165-00_04_42.500.mp4,he used to work with trump 's personal lawyer rudy giuliani and was recently indicted with scheming to bring foreign money into u.s. elections,00:04:24.165,00:04:42.500
JaJWiCEmDQQ-00_06_46.790-00_07_05.458.mp4,australia 's abc news reported that there are thousands of fish that are dead in the macleay river in nsw apparently from ash washing into the water from the rainfall,00:06:46.790,00:07:05.458
ftjAL7MnqsE-00_03_53.199-00_03_58.671.mp4,a trial is scheduled for march,00:03:53.199,00:03:58.671
jEjtVRj8yRA-00_06_11.370-00_06_20.480.mp4,yesterday the nascar all star race happened at bristol speedway in tennessee,00:06:11.370,00:06:20.480
jEjtVRj8yRA-00_05_46.045-00_05_58.557.mp4,spirit airlines commented saying that kind of behavior was not acceptable and they are grateful that their team members took quick action,00:05:46.045,00:05:58.557
jEjtVRj8yRA-00_00_29.428-00_00_33.399.mp4,the rule change was announced last week,00:00:29.428,00:00:33.399
jEjtVRj8yRA-00_00_15.548-00_00_29.428.mp4,the trump administration announced they would drop their plan to allow international college students to stay in the u.s. if their upcoming fall courses were online only,00:00:15.548,00:00:29.428
jEjtVRj8yRA-00_00_11.111-00_00_14.480.mp4,are you ready for our top news,00:00:11.111,00:00:14.480
jEjtVRj8yRA-00_00_07.708-00_00_11.111.mp4,"today is thursday, july 16",00:00:07.708,00:00:11.111
jEjtVRj8yRA-00_00_00.868-00_00_07.708.mp4,i 'm renca and i will be subbing for alex today and tomorrow as he is taking time off,00:00:00.868,00:00:07.708
jEjtVRj8yRA-00_00_00.267-00_00_00.868.mp4,hello,00:00:00.267,00:00:00.868
ftjAL7MnqsE-00_06_51.845-00_06_53.680.mp4,captioned by aslcaptions.com,00:06:51.845,00:06:53.680
ftjAL7MnqsE-00_06_48.375-00_06_51.845.mp4,have a good weekend and stay with the light,00:06:48.375,00:06:51.845
ftjAL7MnqsE-00_06_45.738-00_06_48.375.mp4,check out our deaf news videos,00:06:45.738,00:06:48.375
jEjtVRj8yRA-00_00_33.399-00_00_45.978.mp4,harvard and mit sued the government and there was criticism and more lawsuits from multiple states and organizations,00:00:33.399,00:00:45.978
ftjAL7MnqsE-00_06_42.101-00_06_45.738.mp4,that is all the top news for this week,00:06:42.101,00:06:45.738
ftjAL7MnqsE-00_06_16.910-00_06_23.449.mp4,this is close to the camp taloali site,00:06:16.910,00:06:23.449
ftjAL7MnqsE-00_05_57.023-00_06_16.910.mp4,a 12-year-old boy named wyatt tofte his grandmother peggy mosso and the boy 's dog were found dead from a wildfire in lyon oregon,00:05:57.023,00:06:16.910
ftjAL7MnqsE-00_05_51.050-00_05_57.023.mp4,"500,000 residents in oregon have evacuated from their homes",00:05:51.050,00:05:57.023
ftjAL7MnqsE-00_05_43.108-00_05_51.050.mp4,portland oregon has declared a state of emergency because wildfires are approaching the city,00:05:43.108,00:05:51.050
ftjAL7MnqsE-00_05_34.733-00_05_43.108.mp4,the wildfires in western u.s. states have killed at least 17 people,00:05:34.733,00:05:43.108
ftjAL7MnqsE-00_05_00.000-00_05_34.733.mp4,cbs news explained that black people and persons of color are killed at disproportionate rates because 13% of the u.s. population is black but 20% are killed by police which means that black people are three times more likely than white people to be killed by police,00:05:00.000,00:05:34.733
ftjAL7MnqsE-00_04_42.348-00_05_00.000.mp4,102 were white 59 were black 42 were hispanic or latino five were asian two were native american and 78 others race was unknown,00:04:42.348,00:05:00.000
ftjAL7MnqsE-00_04_23.596-00_04_42.348.mp4,cbs news reported that ever since may 25 which is when george floyd died police in the u.s. killed 288 people,00:04:23.596,00:04:42.348
ftjAL7MnqsE-00_04_11.852-00_04_23.596.mp4,they will be honored after a rendition of the black national anthem lift every voice and sing,00:04:11.852,00:04:23.596
ftjAL7MnqsE-00_06_23.449-00_06_42.101.mp4,six of the top 20 largest california wildfires have happened this year and politicians are pointing to climate change as part of the cause,00:06:23.449,00:06:42.101
jEjtVRj8yRA-00_05_58.557-00_06_10.536.mp4,the brown county sheriff's office said that the investigation is ongoing but the three women could face more charges,00:05:58.557,00:06:10.536
jEjtVRj8yRA-00_00_45.978-00_00_51.951.mp4,now the rule change is scrapped and it 's back to normal,00:00:45.978,00:00:51.951
jEjtVRj8yRA-00_01_20.180-00_01_23.716.mp4,most of the deaths happened in nepal,00:01:20.180,00:01:23.716
jEjtVRj8yRA-00_05_20.120-00_05_28.627.mp4,the tension built up from there and then they attacked the employees,00:05:20.120,00:05:28.627
jEjtVRj8yRA-00_05_09.475-00_05_20.120.mp4,it started with the women throwing items to the employees like water bottles personal belongings and even their fast food,00:05:09.475,00:05:20.120
jEjtVRj8yRA-00_04_57.096-00_05_09.475.mp4,it is not clear what started the attack but the local deputies said the three women became upset when their flight home was delayed,00:04:57.096,00:05:09.475
jEjtVRj8yRA-00_04_52.692-00_04_57.096.mp4,the employees suffered minor injuries,00:04:52.692,00:04:57.096
jEjtVRj8yRA-00_04_42.281-00_04_52.692.mp4,three women from philadelphia were arrested and charged with battery after attacking the airline employees,00:04:42.281,00:04:52.692
jEjtVRj8yRA-00_04_30.403-00_04_42.281.mp4,there was an attack that happened at the fort lauderdale airport in florida on tuesday night while waiting to board on spirit airlines,00:04:30.403,00:04:42.281
jEjtVRj8yRA-00_04_12.451-00_04_28.668.mp4,they believe that this moment calls for a dialogue so they want to move forward to help him advance this important conversation,00:04:12.451,00:04:28.668
jEjtVRj8yRA-00_03_59.906-00_04_12.451.mp4,fox announced that they will still be keeping nick as a host because they said that nick quickly apologized and taken steps to educate himself,00:03:59.906,00:04:12.451
jEjtVRj8yRA-00_03_50.931-00_03_59.906.mp4,nick is also the host of the masked singer on fox,00:03:50.931,00:03:59.906
jEjtVRj8yRA-00_01_07.867-00_01_20.180.mp4,the countries affected are nepal bangladesh and india,00:01:07.867,00:01:20.180
jEjtVRj8yRA-00_03_41.788-00_03_50.931.mp4,he said we need to continue educating each other and embrace uncomfortable topics,00:03:41.788,00:03:50.931
jEjtVRj8yRA-00_03_07.820-00_03_26.673.mp4,viacomcbs said they do not tolerate any conversations that promote hateful speech and spread anti-semitic conspiracy theories which is why they cut off the ties with nick,00:03:07.820,00:03:26.673
jEjtVRj8yRA-00_02_58.578-00_03_07.820.mp4,he said it was not his intention and he absolutely has no hate in his heart,00:02:58.578,00:03:07.820
jEjtVRj8yRA-00_02_46.233-00_02_58.578.mp4,nick has apologized remorsefully and said he was only trying to raise up more knowledge about the black community but ended up hurting another community,00:02:46.233,00:02:58.578
jEjtVRj8yRA-00_02_30.783-00_02_46.233.mp4,the conversation led into these two discussing that jews have stolen black people 's identity as the true hebrews and amplified some conspiracies related with jewish people,00:02:30.783,00:02:46.233
jEjtVRj8yRA-00_02_09.329-00_02_30.783.mp4,nick has a podcast named cannon's class and there was a recent episode of him having a conversation with a former member of a rap group named public enemy richard griffin,00:02:09.329,00:02:30.783
jEjtVRj8yRA-00_01_59.953-00_02_09.329.mp4,nick is known for his appearances in several tv shows and movies like drumline and men in black ii,00:01:59.953,00:02:09.329
jEjtVRj8yRA-00_01_38.831-00_01_59.953.mp4,earlier this week nick cannon was fired from his tv show wild 'n out and viacomcbs said they would no longer work with him due to his anti-semitic remarks,00:01:38.831,00:01:59.953
jEjtVRj8yRA-00_01_31.158-00_01_37.531.mp4,the monsoon season in south asia runs from june to september,00:01:31.158,00:01:37.531
jEjtVRj8yRA-00_01_23.716-00_01_31.158.mp4,millions of people 's lives and homes are disrupted or destroyed from overflowing rivers,00:01:23.716,00:01:31.158
jEjtVRj8yRA-00_03_26.673-00_03_41.788.mp4,nick thanked the jewish rabbis who contacted him to have a dialogue rather than criticizing him,00:03:26.673,00:03:41.788
JaJWiCEmDQQ-00_09_42.041-00_10_01.500.mp4,on tuesday prince william the duke of cambridge used british sign language as he gave a deaf man alex duguid his mbe honors,00:09:42.041,00:10:01.500
4CZCJPhojUc-00_07_12.973-00_07_37.706.mp4,in separate but related news the general manager for nba team houston rockets daryl morey caused anger in china because he tweeted a message of support for hong kong protesters,00:07:12.973,00:07:37.706
4CZCJPhojUc-00_06_53.204-00_07_03.338.mp4,the protests have continued for four months now with no signs of a resolution,00:06:53.204,00:07:03.338
MJijm9kbdHA-00_15_56.166-00_15_57.124.mp4,but i feel great,00:15:56.166,00:15:57.124
MJijm9kbdHA-00_15_55.166-00_15_56.166.mp4,you just have to keep on going,00:15:55.166,00:15:56.166
MJijm9kbdHA-00_15_52.666-00_15_55.166.mp4,it means if you mess up you mess up,00:15:52.666,00:15:55.166
MJijm9kbdHA-00_15_50.082-00_15_52.666.mp4,i always enjoy performing live on tv,00:15:50.082,00:15:52.666
MJijm9kbdHA-00_15_48.707-00_15_50.082.mp4,that was fun,00:15:48.707,00:15:50.082
MJijm9kbdHA-00_15_35.625-00_15_38.832.mp4,it 's great to be back and put music out,00:15:35.625,00:15:38.832
